RecordNumber,MediaURN,Title,Publisher,StartDate,StartTime,EndTime,Description,MediaType,CallNumber
4365,4375,"Breakfast","BBC ONE",27/12/2010,06:00:00,07:40:00,"The latest news, sport, business and weather from the BBC's Breakfast team. [S] Including regional news at 25 and 55 minutes past each hour. [LMcK]",Video,BNT000004365,,,,
4366,4376,"BBC News","BBC ONE",27/12/2010,17:10:00,17:34:00,"The latest national and international news stories from the BBC News team, followed by weather. [S] [LMcK]",Video,BNT000004366,,,,,
4367,4377,"BBC News at Ten","BBC ONE",27/12/2010,22:01:00,22:24:00,"The latest national and international news, with reports from BBC correspondents worldwide. [S] [LMcK]",Video,BNT000004367,,,,,
4386,4396,"Breakfast","BBC ONE",28/12/2010,06:00:00,08:59:00,"The latest news, sport, business and weather from the BBC's Breakfast team. [S] Including regional news at 25 and 55 minutes past each hour. [LMcK]",Video,BNT000004386,,,,
4387,4397,"BBC News","BBC ONE",28/12/2010,18:21:00,18:57:00,"BBC News. [S] [LMcK]",Video,BNT000004387
4388,4398,"BBC News at Ten","BBC ONE",28/12/2010,22:03:00,22:28:00,"The latest national and international news, with reports from BBC correspondents worldwide. [S] [LMcK]",Video,BNT000004388,,,,,
4404,4414,"Breakfast","BBC ONE",29/12/2010,06:00:00,08:59:00,"The latest news, sport, business and weather from the BBC's Breakfast team. [S] Including regional news at 25 and 55 minutes past each hour. [LMcK]",Video,BNT000004404,,,,
4405,4415,"BBC News","BBC ONE",29/12/2010,18:20:00,18:57:00,"The latest national and international news stories from the BBC News team, followed by weather. [S] [LMcK]",Video,BNT000004405,,,,,
4406,4416,"BBC News at Ten","BBC ONE",29/12/2010,22:00:00,22:25:00,"The latest national and international news, with reports from BBC correspondents worldwide. [S] [LMcK]",Video,BNT000004406,,,,,
4422,4432,"Breakfast","BBC ONE",30/12/2010,06:00:00,08:59:00,"BBC One joins the BBC's rolling news channel for a night of news, with bulletins on the hour and the headlines every 15 minutes. [S] [LMcK]",Video,BNT000004422,,,,,
4423,4433,"BBC News","BBC ONE",30/12/2010,18:20:00,18:58:00,"The latest national and international news stories from the BBC News team, followed by weather. [S] [LMcK]",Video,BNT000004423,,,,,
4424,4434,"BBC News","BBC ONE",30/12/2010,22:30:00,22:54:00,"The latest national and international news, with reports from BBC correspondents worldwide. [S] [LMcK]",Video,BNT000004424,,,,,
4434,4444,"Breakfast","BBC ONE",31/12/2010,06:00:00,08:59:00,"The latest news, sport, business and weather from the BBC's Breakfast team. [S] Including regional news at 25 and 55 minutes past each hour. [LMcK]",Video,BNT000004434,,,,
4445,4455,"BBC News","BBC ONE",31/12/2010,18:20:00,18:58:00,"The latest national and international news stories from the BBC News team, followed by weather. [S] [LMcK]",Video,BNT000004445,,,,,
4446,4456,"BBC News","BBC ONE",31/12/2010,22:15:00,22:39:00,"The latest national and international news, with reports from BBC correspondents worldwide. [S]",Video,BNT000004446,,,,,
67,67,"Lords - UK Film and TV Industries","BBC Parliament",11/05/2010,09:15:00,11:57:00,"Recorded coverage of political highlights.",Video,BNT000000067
430,429,"Prime Minister's Questions","BBC Parliament",02/06/2010,23:31:00,00:04:00,"Recorded coverage of questions in the House of Commons to Prime Minister David Cameron from Wednesday 2 June. [Prime Ministers Questions FIRST ONE]",Video,BNT000000430
466,464,"This Week","BBC Parliament",04/06/2010,18:01:00,18:45:00,"A political review of the week presented by Andrew Neil with helpers Michael Portillo and Caroline Flint. [AW]",Video,BNT000000466
501,499,"The Record","BBC Parliament",10/06/2010,23:00:00,23:29:00,"Highlights of Thursday 10 June in Parliament, presented by Keith Macdougall. [AW]",Video,BNT000000501,,,,,
514,512,"The Record Review","BBC Parliament",11/06/2010,23:00:00,23:56:00,"BBC Parliament's weekly studio programme looking back at the week in Westminster with Keith Macdougall. [AW]",Video,BNT000000514
567,565,"New Statesman Labour Hustings","BBC Parliament",12/06/2010,18:04:00,19:52:00,"Recorded coverage of the Labour Party leadership contenders taking part in the New Statesman Hustings in London, from Wednesday 9 June. [AW]",Video,BNT000000567,,,,,
609,607,"The Record","BBC Parliament",14/06/2010,23:02:00,23:31:00,"Highlights of Monday 14 June in Parliament, presented by Kristiina Cooper. [AW]",Video,BNT000000609,,,,,
632,630,"The Record","BBC Parliament",15/06/2010,23:02:00,23:30:00,"Highlights of Tuesday 15 June in Parliament presented by Keith Macdougall. [AW]",Video,BNT000000632
662,660,"The Record","BBC Parliament",16/06/2010,23:02:00,23:30:00,"Highlights of Wednesday 16 June in Parliament, presented by Keith Macdougall. [AW]",Video,BNT000000662,,,,,
686,684,"The Record","BBC Parliament",17/06/2010,23:02:00,23:31:00,"Highlights of Thursday 17 June in Parliament, presented by Keith Macdougall. [AW]",Video,BNT000000686,,,,,
1012,1010,"The Record Review","BBC Parliament",24/07/2010,05:00:00,05:56:00,"BBC Parliament's weekly studio programme looking back at the week in Westminster with Keith Macdougall. [AW]",Video,BNT000001012
1110,1108,"The Record Review","BBC Parliament",01/08/2010,15:01:00,15:59:00,"Alicia McCarthy reviews the highlights of the last two months at Westminster. Westminster is currently in recess. [AW]",Video,BNT000001110
1111,1109,"The Record Europe","BBC Parliament",01/08/2010,16:00:00,16:26:00,"Shirin Wheeler reviews the European Parliament's final week's session in Strasbourg. Westminster is currently in recess. [AW]",Video,BNT000001111
1176,1174,"Budget 2010","BBC Parliament",04/08/2010,10:15:00,12:28:00,"Recorded coverage of the budget statement made to the House of Commons by Chancellor George Osborne, from Tuesday 22 June. [NR]",Video,BNT000001176,,,,,
1919,1924,"The Record.","BBC Parliament",06/09/2010,23:36:00,00:05:00,"The Record. [AW]",Video,BNT000001919
1942,1950,"The Record","BBC Parliament",07/09/2010,23:13:00,23:42:00,"Highlights of Tuesday 7 September in Parliament presented by Keith Macdougall. [AW]",Video,BNT000001942
1965,1973,"The Record","BBC Parliament",08/09/2010,23:00:00,23:30:00,"Highlights of Wednesday 8 September in Parliament presented by Keith Macdougall. [AW]",Video,BNT000001965
1984,1992,"The Record","BBC Parliament",09/09/2010,23:00:00,23:29:00,"Highlights of Thursday 9 September in Parliament presented by Keith Macdougall. [AW]",Video,BNT000001984
2025,2033,"The Record Review","BBC Parliament",10/09/2010,23:04:00,23:32:00,"BBC Parliament's weekly studio programme looking back at the week in Westminster with Keith Macdougall.",Video,BNT000002025
2115,2123,"The Record","BBC Parliament",13/09/2010,23:02:00,23:31:00,"Highlights of Monday 13 September in Parliament, presented by Rachel Byrne.",Video,BNT000002115,,,,,
2137,2145,"The Record","BBC Parliament",14/09/2010,23:01:00,23:30:00,"Highlights of Tuesday 14 September in Parliament presented by Keith Macdougall. [AW]",Video,BNT000002137
2160,2168,"The Record","BBC Parliament",15/09/2010,23:00:00,23:30:00,"Highlights of Wednesday 15 September in Parliament presented by Keith Macdougall. [AW]",Video,BNT000002160
2191,2199,"The Record","BBC Parliament",16/09/2010,23:00:00,23:29:00,"Highlights of Thursday 16 September in Parliament presented by Keith Macdougall. [AW]",Video,BNT000002191
2211,2219,"Political Highlights","BBC Parliament",17/09/2010,23:31:00,00:00:00,"BBC Parliament's weekly studio programme looking back at the week in Westminster with Keith Macdougall. [AW]",Video,BNT000002211
2252,2260,"The Record Europe","BBC Parliament",18/09/2010,23:06:00,23:32:00,"An in-depth look at the politics of Europe presented by Shirin Wheeler. [AW]",Video,BNT000002252
2271,2279,"Question Time: Labour Party...","BBC Parliament",19/09/2010,18:05:00,19:04:00,"...Leadership Special. Question Time returns with a Labour Leadership Special. David Dimbleby chairs from London as the five candidates face questions from the audience. [AW]",Video,BNT000002271
2580,2588,"Labour Leader's Speech","BBC Parliament",02/10/2010,21:18:00,22:15:00,"Coverage Of Ed Milliband's first speech as Labour Leader",Video,BNT000002580
2786,2794,"The Record","BBC Parliament",13/10/2010,23:00:00,23:29:00,"Highlights of Wednesday 13 October in Parliament, presented by Alicia McCarthy. [AW]",Video,BNT000002786,,,,,
2811,2819,"The Record","BBC Parliament",14/10/2010,23:01:00,23:30:00,"Highlights of Thursday 14 October in Parliament, presented by Alicia McCarthy. [AW]",Video,BNT000002811,,,,,
2831,2839,"The Record Review","BBC Parliament",15/10/2010,23:00:00,23:57:00,"BBC Parliament's weekly studio programme looking back at the week in Westminster with Alicia McCarthy. [AW]",Video,BNT000002831
2994,3002,"The Record","BBC Parliament",19/10/2010,23:26:00,23:55:00,"Highlights of Tuesday 19 October in Parliament presented by Alicia McCarthy. [AW]",Video,BNT000002994
3021,3029,"The Record","BBC Parliament",20/10/2010,23:03:00,23:32:00,"Highlights of Wednesday 20 October in Parliament presented by Alicia McCarthy. [AW]",Video,BNT000003021
3047,3055,"The Record","BBC Parliament",21/10/2010,23:03:00,23:31:00,"Highlights of Thursday 21 October in Parliament presented by Alicia McCarthy. [AW]",Video,BNT000003047
3075,3083,"The Record","BBC Parliament",21/10/2010,23:03:00,23:31:00,"Highlights of Thursday 21 October in Parliament presented by Alicia McCarthy. [AW]",Video,BNT000003075
3069,3077,"The Record Review","BBC Parliament",22/10/2010,23:01:00,23:57:00,"BBC Parliament's weekly studio programme looking back at the week in Westminster with Alicia McCarthy. [AW]",Video,BNT000003069
3088,3096,"The Record Europe","BBC Parliament",23/10/2010,23:02:00,23:27:00,"Shirin Wheeler reports on the work of the European Parliament in session in Strasbourg. [AW]",Video,BNT000003088
3160,3168,"The Record","BBC Parliament",25/10/2010,23:02:00,23:30:00,"Highlights of Monday 25 October in Parliament presented by Alicia McCarthy. [AW]",Video,BNT000003160
3123,3131,"The Record","BBC Parliament",26/10/2010,23:01:00,23:30:00,"Highlights of Tuesday 26 October in Parliament presented by Keith Macdougall. [AW]",Video,BNT000003123
3194,3202,"The Record Review","BBC Parliament",29/10/2010,23:02:00,23:59:00,"BBC Parliament's weekly studio programme looking back at the week in Westminster.",Video,BNT000003194
3214,3222,"The Record Europe","BBC Parliament",30/10/2010,23:00:00,23:30:00,"An in-depth look at the politics of Europe, presented by Shirin Wheeler.",Video,BNT000003214,,,,,
3263,3271,"The Record Review","BBC Parliament",01/11/2010,09:00:00,09:56:00,"BBC Parliament's weekly studio programme looking back at the week in Westminster. [AW]",Video,BNT000003263
3264,3272,"The Record Europe","BBC Parliament",01/11/2010,10:00:00,10:26:00,"An in-depth look at the politics of Europe, presented by Shirin Wheeler. [AW]",Video,BNT000003264,,,,,
3265,3273,"The Record Europe","BBC Parliament",01/11/2010,10:00:00,10:26:00,"An in-depth look at the politics of Europe, presented by Shirin Wheeler. [AW]",Video,BNT000003265,,,,,
3349,3357,"The Record","BBC Parliament",02/11/2010,23:02:00,23:30:00,"Highlights of Tuesday 2 November in Parliament presented by Keith Macdougall. [AW]",Video,BNT000003349
3338,3346,"The Record","BBC Parliament",03/11/2010,23:00:00,23:30:00,"Highlights of Wednesday 3 November in Parliament presented by Keith Macdougall. [AW]",Video,BNT000003338
3368,3376,"The Record","BBC Parliament",04/11/2010,23:00:00,23:29:00,"Highlights of Thursday 4 November in Parliament presented by Keith Macdougall. [AW]",Video,BNT000003368
3369,3377,"The Record","BBC Parliament",04/11/2010,23:00:00,23:29:00,"Highlights of Thursday 4 November in Parliament presented by Keith Macdougall. [AW]",Video,BNT000003369
3390,3398,"The Record","BBC Parliament",08/11/2010,23:01:00,23:30:00,"Highlights of Monday 8 November in Parliament presented by Rachel Byrne. [AW]",Video,BNT000003390
3424,3432,"The Record","BBC Parliament",10/11/2010,23:00:00,23:28:00,"Highlights of Wednesday 10 November in Parliament presented by Keith Macdougall. [AW]",Video,BNT000003424
3472,3480,"The Record Review","BBC Parliament",12/11/2010,23:00:00,23:56:00,"BBC Parliament's weekly studio programme looking back at the week in Westminster with Keith Macdougall. [AW]",Video,BNT000003472
3518,3526,"The Record","BBC Parliament",15/11/2010,23:00:00,23:29:00,"Highlights of Monday 15 November in Parliament presented by Alicia McCarthy. [AW]",Video,BNT000003518
3535,3543,"The Record","BBC Parliament",16/11/2010,23:00:00,23:28:00,"Highlights of Tuesday 16 November in Parliament presented by Alicia McCarthy. [AW]",Video,BNT000003535
3550,3558,"The Record","BBC Parliament",17/11/2010,23:01:00,23:29:00,"Highlights of Wednesday 17 November in Parliament presented by Alicia McCarthy. [AW]",Video,BNT000003550
3631,3641,"The Record","BBC Parliament",17/11/2010,23:01:00,23:29:00,"Highlights of Wednesday 17 November in Parliament presented by Alicia McCarthy. [AW]",Video,BNT000003631
3567,3575,"The Record","BBC Parliament",18/11/2010,23:00:00,23:29:00,"Highlights of Thursday 18 November in Parliament presented by Alicia McCarthy. [AW]",Video,BNT000003567
3619,3627,"The Record Review","BBC Parliament",19/11/2010,23:01:00,23:57:00,"BBC Parliament's weekly studio programme looking back at the week in Westminster with Alicia McCarthy. [AW]",Video,BNT000003619
3880,3890,"The Record Europe","BBC Parliament",27/11/2010,23:01:00,23:26:00,"Janet Barrie reports on the work of the European Parliament in session in Strasbourg. [AW]",Video,BNT000003880
3824,3834,"The Record","BBC Parliament",29/11/2010,23:03:00,23:32:00,"Highlights of Monday 29 November in Parliament presented by Keith Macdougall. [AW]",Video,BNT000003824
3846,3856,"The Record","BBC Parliament",30/11/2010,23:00:00,23:30:00,"Highlights of Tuesday 30 November in Parliament presented by Alicia McCarthy. [AW]",Video,BNT000003846
3868,3878,"The Record","BBC Parliament",01/12/2010,23:01:00,23:30:00,"Highlights of Wednesday 1 December in Parliament presented by Alicia McCarthy. [AW]",Video,BNT000003868
3912,3922,"The Record","BBC Parliament",02/12/2010,23:02:00,23:32:00,"Highlights of Thursday 2 December in Parliament presented by Alicia McCarthy. [AW]",Video,BNT000003912
3913,3923,"The Record","BBC Parliament",02/12/2010,23:02:00,23:32:00,"Highlights of Thursday 2 December in Parliament presented by Alicia McCarthy. [AW]",Video,BNT000003913
3950,3960,"The Record Europe","BBC Parliament",04/12/2010,23:02:00,23:28:00,"Shirin Wheeler reports on the work of the European Parliament in session in Strasbourg. [AW]",Video,BNT000003950
3986,3996,"The Record","BBC Parliament",06/12/2010,23:01:00,23:30:00,"Highlights of Monday 6 December in Parliament presented by Rachel Byrne. [AW]",Video,BNT000003986
4041,4051,"The Record","BBC Parliament",09/12/2010,23:03:00,23:31:00,"Highlights of Thursday 9 December in Parliament presented by Keith Macdougall. [AW]",Video,BNT000004041
4061,4071,"The Record Review","BBC Parliament",10/12/2010,23:00:00,23:56:00,"Recorded coverage of the Home Affairs Committee's session on the use of police tasers, from Tuesday 7 December. [AW]",Video,BNT000004061,,,,,
4077,4087,"The Record Europe","BBC Parliament",11/12/2010,23:01:00,23:26:00,"An in-depth look at the politics of Europe presented by Shirin Wheeler. [AW]",Video,BNT000004077
4114,4124,"The Record","BBC Parliament",13/12/2010,23:04:00,23:33:00,"Highlights of Monday 13 December in Parliament presented by Alicia McCarthy. [AW]",Video,BNT000004114
4141,4151,"The Record","BBC Parliament",14/12/2010,23:00:00,23:29:00,"Highlights of Tuesday 14 December in Parliament presented by Keith Macdougall. [AW]",Video,BNT000004141
4160,4170,"The Record","BBC Parliament",15/12/2010,23:01:00,23:30:00,"Highlights of Wednesday 15 December in Parliament presented by Keith Macdougall. [AW]",Video,BNT000004160
4182,4192,"The Record","BBC Parliament",16/12/2010,23:00:00,23:34:00,"Highlights of Thursday 16 December in Parliament presented by Keith Macdougall. [LMcK]",Video,BNT000004182
4203,4213,"The Record Review","BBC Parliament",17/12/2010,23:01:00,00:02:00,"BBC Parliament's weekly studio programme looking back at the week in Westminster. [LMcK]",Video,BNT000004203
4218,4228,"The Record Europe","BBC Parliament",18/12/2010,23:01:00,23:28:00,"Shirin Wheeler reviews the European Parliament's final week session of 2010 in Strasbourg. [LMcK]",Video,BNT000004218
4244,4254,"The Record","BBC Parliament",20/12/2010,23:00:00,23:29:00,"Highlights of the day in Parliament presented by Keith Macdougall. [LMcK]",Video,BNT000004244
4262,4272,"The Record","BBC Parliament",21/12/2010,23:00:00,23:30:00,"Recorded coverage of business in the House of Lords on Monday 20 October. [LMcK]",Video,BNT000004262
4282,4292,"The Record Review","BBC Parliament",22/12/2010,23:05:00,00:02:00,"Alicia McCarthy presents a review of the parliamentary highlights at Westminster since September. [LMcK]",Video,BNT000004282
4302,4312,"Anthony Howard Tribute","BBC Parliament",23/12/2010,12:35:00,13:05:00,"A tribute to the political journalist and commentator Anthony Howard whose death was announced at the weekend. The programme features clips from his many BBC TV appearances. [LMcK]",Video,BNT000004302
4322,4332,"The Record Europe","BBC Parliament",24/12/2010,22:00:00,22:30:00,"Shirin Wheeler reviews the European Parliament's final week session of 2010 in Strasbourg. [LMcK]",Video,BNT000004322
16,16,"Today","BBC Radio 4",29/03/2010,07:09:00,07:12:00,"With John Humphrys and Justin Webb. Including Sports Desk at 6.25am, 7.25am, 8.25am; Weather at 6.05am, 6.57am, 7.57am. Thought for the Day with Rev Roy Jenkins at 7.48am.",Audio,BNR000000016,,
36,36,"Today","BBC Radio 4",10/04/2010,07:00:00,08:59:00,"With John Humphrys and Justin Webb. Including Sports Desk at 7.25am, 8.25am; Weather at 7.57am; Thought for the Day at 7.48am. With Cheryl Tipp interview at 1:51:30 onwards",Audio,BNR000000036,,,,,
37,37,"Today","BBC Radio 4",10/04/2010,08:51:00,08:55:00,"With John Humphrys and Justin Webb. Including Sports Desk at 7.25am, 8.25am; Weather at 7.57am; Thought for the Day at 7.48am.",Audio,BNR000000037,,,,,
78,77,"Election Night 2010","BBC Radio 4",06/05/2010,22:00:00,05:59:00,"Live results, analysis and interviews as the UK finds out who has won the right to govern. Presented by James Naughtie and Carolyn Quinn. 2010 General Election.",Audio,BNR000000078,,,,,
79,78,"Today","BBC Radio 4",07/05/2010,06:00:00,09:00:00,"With John Humphrys and Evan Davis. Including Sports Desk at 6.25am, 7.25am, 8.25am; Weather at 6.05am, 6.57am, 7.57am. Thought for the Day at 7.48am. 2010 General Election.",Audio,BNR000000079,,
80,79,"The World at One","BBC Radio 4",07/05/2010,12:00:00,13:59:00,"Why is there such a glut of tickets and hotels rooms for the World Cup? What happens when You and Yours listeners cross the National Trust with Mills and Boon! 2010 General Election.",Audio,BNR000000080
81,80,"PM","BBC Radio 4",07/05/2010,17:00:00,19:00:00,"Full coverage and analysis of the day's news with Eddie Mair. Including Weather at 5.57pm. 2010 General Election.",Audio,BNR000000081
82,81,"Any Questions?","BBC Radio 4",07/05/2010,20:00:00,20:49:00,"Jonathan Dimbleby chairs the topical debate from Witney in Oxfordshire. The panellists are Peter Hain MP, Michael Portillo, Baroness Shirley Williams and Daniel Finkelstein. 2010 General Election.",Audio,BNR000000082,,,,
83,82,"The World Tonight","BBC Radio 4",07/05/2010,22:00:00,22:44:00,"National and international news and analysis. 2010 General Election.",Audio,BNR000000083
90,89,"Today","BBC Radio 4",08/05/2010,07:00:00,09:00:00,"Including Sports Desk at 7.25am, 8.25am; Weather at 7.57am; Thought for the Day at 7.48am. 2010 General Election.",Audio,BNR000000090,,,,,
91,90,"Saturday PM","BBC Radio 4",08/05/2010,17:00:00,17:54:00,"Full coverage and analysis of the day's news with Carolyn Quinn, plus the sports headlines. 2010 General Election.",Audio,BNR000000091,,,,,
99,98,"Sunday","BBC Radio 4",09/05/2010,07:10:00,07:55:00,"Edward Stourton discusses the religious and ethical news of the week. Moral arguments and perspectives on stories, both familiar and unfamiliar. 2010 General Election.",Audio,BNR000000099,,,,,
100,99,"The World This Weekend","BBC Radio 4",09/05/2010,13:00:00,14:00:00,"A look at events around the world with Shaun Ley. 2010 General Election.",Audio,BNR000000100
102,101,"The Westminster Hour","BBC Radio 4",09/05/2010,22:00:00,22:45:00,"Reports from behind the scenes at Westminster. 2010 General Election.",Audio,BNR000000102
105,104,"Today","BBC Radio 4",10/05/2010,06:00:00,09:00:00,"With Sarah Montague and James Naughtie. Including Sports Desk at 6.25am, 7.25am, 8.25am; Weather at 6.05am, 6.57am, 7.57am. Thought for the Day at 7.48am. 2010 General Election.",Audio,BNR000000105,,
106,105,"PM","BBC Radio 4",10/05/2010,17:00:00,18:00:00,"Full coverage and analysis of the day's news with Eddie Mair. Including Weather at 5.57pm. 2010 General Election.",Audio,BNR000000106
107,106,"The World Tonight","BBC Radio 4",10/05/2010,22:00:00,22:44:00,"News and analysis. Deal or no deal? Live update and analysis on the negotiations taking place between the three main parties. What does the European rescue package entail? 2010 General Election.",Audio,BNR000000107
112,111,"Today","BBC Radio 4",11/05/2010,06:00:00,09:00:00,"With Sarah Montague and James Naughtie. Including Sports Desk at 6.25am, 7.25am, 8.25am; Weather at 6.05am, 6.57am, 7.57am. Thought for the Day at 7.48am. 2010 General Election.",Audio,BNR000000112,,
113,112,"PM","BBC Radio 4",11/05/2010,17:00:00,18:00:00,"Full coverage and analysis of the day's news with Carolyn Quinn. Including Weather at 5.57pm. 2010 General Election.",Audio,BNR000000113
114,113,"The World Tonight","BBC Radio 4",11/05/2010,19:15:00,20:00:00,"Russell Crowe, who stars in Ridley Scott's new version of Robin Hood; the Archbishop of Canterbury on the treasures of Lambeth Palace; and a long-lost play by John Osborne. 2010 General Election. - special edition of The World Tonight",Audio,BNR000000114,,,,,
115,114,"The World Tonight","BBC Radio 4",11/05/2010,22:00:00,22:45:00,"National and international news and analysis. 2010 General Election.",Audio,BNR000000115
120,119,"Today","BBC Radio 4",12/05/2010,06:00:00,09:00:00,"With Sarah Montague and Evan Davis. Including Sports Desk at 6.25am, 7.25am, 8.25am; Weather at 6.05am, 6.57am, 7.57am. Thought for the Day at 7.48am.",Audio,BNR000000120,,
121,120,"PM","BBC Radio 4",12/05/2010,17:00:00,18:00:00,"Full coverage and analysis of the day's news with Eddie Mair. Including Weather at 5.57pm.",Audio,BNR000000121
122,121,"The World Tonight","BBC Radio 4",12/05/2010,22:00:00,22:45:00,"National and international news and analysis.",Audio,BNR000000122
130,129,"PM","BBC Radio 4",13/05/2010,17:00:00,18:00:00,"Full coverage and analysis of the day's news with Eddie Mair. Including Weather at 5.57pm.",Audio,BNR000000130
131,130,"The World Tonight","BBC Radio 4",13/05/2010,22:00:00,22:45:00,"News and analysis with Robin Lustig. More Liberal Democrats join the government; can the party retain a distinctive voice? Ireland's lessons on how to cut public spending.",Audio,BNR000000131
137,136,"Today","BBC Radio 4",14/05/2010,06:00:00,09:00:00,"With Evan Davis and Justin Webb. Including Sports Desk at 6.25am, 7.25am, 8.25am; Weather at 6.05am, 6.57am, 7.57am. Thought for the Day at 7.48am.",Audio,BNR000000137,,
139,138,"PM","BBC Radio 4",14/05/2010,17:00:00,18:00:00,"Full coverage and analysis of the day's news with Eddie Mair. Including Weather at 5.57pm.",Audio,BNR000000139
140,139,"The World Tonight","BBC Radio 4",14/05/2010,22:00:00,22:45:00,"With Robin Lustig. William Hague meets Hillary Clinton in Washington. Thailand's government fires on 'Red Shirt' protestors; can there be a deal for new elections?",Audio,BNR000000140
163,162,"Today","BBC Radio 4",15/05/2010,07:00:00,09:00:00,"With Evan Davis and John Humphrys. Including Sports Desk at 7.25am, 8.25am; Weather at 7.57am; Thought for the Day at 7.48am.",Audio,BNR000000163,,,,,
164,163,"Saturday PM","BBC Radio 4",15/05/2010,17:00:00,17:30:00,"Full coverage and analysis of the day's news with Carolyn Quinn, plus the sports headlines.",Audio,BNR000000164,,,,,
170,169,"Sunday","BBC Radio 4",16/05/2010,07:10:00,07:55:00,"Edward Stourton talks to the Archbishop of York John Senatamu, and asks what values can a coalition government bring?",Audio,BNR000000170,,,,,
171,170,"The World This Weekend","BBC Radio 4",16/05/2010,13:00:00,14:00:00,"A look at events around the world with Shaun Ley.",Audio,BNR000000171
172,171,"The Westminster Hour","BBC Radio 4",16/05/2010,22:00:00,22:45:00,"Reports from behind the scenes at Westminster.",Audio,BNR000000172
182,181,"Today","BBC Radio 4",17/05/2010,06:00:00,09:00:00,"With Justin Webb and John Humphrys. Including Sports Desk at 6.25am, 7.25am, 8.25am; Weather at 6.05am, 6.57am, 7.57am. Thought for the Day at 7.48am.",Audio,BNR000000182,,
183,182,"PM","BBC Radio 4",17/05/2010,17:00:00,18:00:00,"Full coverage and analysis of the day's news with Eddie Mair. Including Weather at 5.57pm.",Audio,BNR000000183
184,183,"The World Tonight","BBC Radio 4",17/05/2010,22:00:00,22:45:00,"National and international news and analysis with Robin Lustig. Will Thailand's crackdown on protestors turn more bloody? How easy is it to cancel government spending projects?",Audio,BNR000000184
192,191,"Today","BBC Radio 4",18/05/2010,06:00:00,09:00:00,"With Sarah Montague and John Humphrys. Including Sports Desk at 6.25am, 7.25am, 8.25am; Weather at 6.05am, 6.57am, 7.57am. Thought for the Day at 7.48am.",Audio,BNR000000192,,
193,192,"PM","BBC Radio 4",18/05/2010,17:00:00,18:00:00,"Full coverage and analysis of the day's news with Eddie Mair. Including Weather at 5.57pm.",Audio,BNR000000193
194,193,"The World Tonight","BBC Radio 4",18/05/2010,22:00:00,22:45:00,"British Airways and the Unite union are back in court, debating the legality of strike action. In Westminster, it is the first session of the new parliament. With David Eades.",Audio,BNR000000194,,,,
208,207,"Today","BBC Radio 4",19/05/2010,06:00:00,09:00:00,"With Sarah Montague and John Humphrys. Sports Desk at 6.25am, 7.25am, 8.25am; Weather at 6.05am, 6.57am, 7.57am. Thought for the Day at 7.48am. Yesterday in Parliament at 6.45am.",Audio,BNR000000208,,
209,208,"PM","BBC Radio 4",19/05/2010,17:00:00,18:00:00,"Full coverage and analysis of the day's news with Eddie Mair. Including Weather at 5.57pm.",Audio,BNR000000209
210,209,"The World Tonight","BBC Radio 4",19/05/2010,22:00:00,22:45:00,"National and international news and analysis.",Audio,BNR000000210
212,211,"Today","BBC Radio 4",20/05/2010,06:00:00,09:00:00,"With James Naughtie and Justin Webb. Including Sports Desk at 6.25am, 7.25am, 8.25am; Weather at 6.05am, 6.57am, 7.57am. Thought for the Day at 7.48am.",Audio,BNR000000212,,
213,212,"PM","BBC Radio 4",20/05/2010,17:00:00,18:00:00,"Full coverage and analysis of the day's news with Eddie Mair. Including Weather at 5.57pm.",Audio,BNR000000213
214,213,"The World Tonight","BBC Radio 4",20/05/2010,22:00:00,22:45:00,"National and international news and analysis, with Jonty Bloom in Berlin and Robin Lustig in London.",Audio,BNR000000214,,,,,
226,225,"Today","BBC Radio 4",21/05/2010,06:00:00,09:00:00,"With James Naughtie and Evan Davis. Including Sports Desk at 6.25am, 7.25am, 8.25am; Weather at 6.05am, 6.57am, 7.57am. Thought for the Day at 7.48am.",Audio,BNR000000226,,
234,233,"PM","BBC Radio 4",21/05/2010,17:00:00,18:00:00,"Full coverage and analysis of the day's news with Eddie Mair. Including  Weather at 5.57pm.",Audio,BNR000000234
278,277,"Today","BBC Radio 4",22/05/2010,08:00:00,10:00:00,"With James Naughtie and Evan Davis. Including Sports Desk at 7.25am, 8.25am; Weather at 7.57am; Thought for the Day at 7.48am. - Recorded 08:00-10:00 because of EPG slippage.",Audio,BNR000000278,,,,,
279,278,"Six O'Clock News","BBC Radio 4",22/05/2010,18:00:00,19:00:00,"Saturday PM - recorded 17:00-18:00 re EPG slippage",Audio,BNR000000279
293,292,"Gardeners' Question Time","BBC Radio 4",23/05/2010,14:00:00,14:30:00,"The World This Weekend 13:00-13:30 re EPG slippage",Audio,BNR000000293
294,293,"Sunday Worship","BBC Radio 4",23/05/2010,08:10:00,08:55:00,"Sunday - 07:10-07:55 - re EPG slippage",Audio,BNR000000294
295,294,"Gardeners' Question Time","BBC Radio 4",23/05/2010,14:00:00,14:45:00,"The World this Weekend 13:00-14:00 - re EPG slippage",Audio,BNR000000295
300,299,"The Westminster Hour","BBC Radio 4",23/05/2010,23:00:00,23:45:00,"The Westminster Hour 22:00-22:45 re EPG slippage",Audio,BNR000000300
